batch_id,event_id,event_class,station,audited_positive_channels,usable_channels,questionable_channels,rejected_channels,request_integrity_status
4,levent-06100,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06116,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06129,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06168,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06197,deep_moonquake_assigned,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-06219,deep_moonquake_assigned,S16,MH1;MHZ,,MH1;MHZ,,questionable_integrity
4,levent-06236,deep_moonquake_assigned,S16,MH1;SHZ,MH1;SHZ,,,usable_integrity
4,levent-06291,deep_moonquake_assigned,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06316,natural_impact,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-06336,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-06343,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-06359,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06363,natural_impact,S16,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
4,levent-06451,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06462,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06472,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06473,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06478,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06485,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06507,natural_impact,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-06515,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-06522,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06569,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06598,deep_moonquake_assigned,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-06612,deep_moonquake_assigned,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-06640,deep_moonquake_assigned,S16,MH1,MH1,,,usable_integrity
4,levent-06641,deep_moonquake_assigned,S16,MH1,MH1,,,usable_integrity
4,levent-06658,deep_moonquake_assigned,S16,MH1,MH1,,,usable_integrity
4,levent-06659,deep_moonquake_assigned,S16,MH1,MH1,,,usable_integrity
4,levent-06662,natural_impact,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-06664,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06685,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-06714,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06721,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06731,deep_moonquake_assigned,S16,MH2,MH2,,,usable_integrity
4,levent-06743,natural_impact,S16,MH1;MH2,,MH1;MH2,,questionable_integrity
4,levent-06752,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-06769,deep_moonquake_assigned,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06770,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-06785,deep_moonquake_assigned,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06809,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06858,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06910,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06911,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06913,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-06918,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-06922,deep_moonquake_assigned,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-06927,deep_moonquake_assigned,S16,MH1,MH1,,,usable_integrity
4,levent-06938,natural_impact,S16,MH1,MH1,,,usable_integrity
4,levent-06947,deep_moonquake_assigned,S16,MH1,MH1,,,usable_integrity
4,levent-07027,natural_impact,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07055,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07073,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07075,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07086,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-07087,natural_impact,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-07095,deep_moonquake_assigned,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-07117,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07150,natural_impact,S16,MH1;MH2;SHZ,MH1;MH2;SHZ,,,usable_integrity
4,levent-07187,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07207,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07236,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07257,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07264,natural_impact,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-07277,deep_moonquake_assigned,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-07279,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07287,natural_impact,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-07334,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07336,natural_impact,S16,MH1,MH1,,,usable_integrity
4,levent-07351,deep_moonquake_assigned,S16,MH1;MHZ,MH1;MHZ,,,usable_integrity
4,levent-07407,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07417,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07429,natural_impact,S16,MH1;MH2;SHZ,MH1;MH2;SHZ,,,usable_integrity
4,levent-07442,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07443,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-07480,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-07484,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-07487,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07546,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-07556,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07575,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07648,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07652,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-07744,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-07745,natural_impact,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07759,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07761,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07768,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07857,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07883,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07890,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-07900,natural_impact,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07906,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07907,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07909,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07922,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-07965,natural_impact,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-07982,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-07998,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-08004,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-08007,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-08009,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-08014,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-08016,deep_moonquake_assigned,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-08019,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-08021,natural_impact,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-08025,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-08042,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-08092,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
